team,award_name,year,event
frc1,Best Play of the Day Award,1998,1998cmp
frc1,Quality,1998,1998mi
frc1,Championship Winner,1999,1999cmp
frc1,Creativity,1999,1999il
frc1,Regional Finalist,1999,1999mi
frc1,Chairman's Award Finalist,2000,2000cmp
frc1,Best Offensive Round,2000,2000il
frc1,Most Photogenic Award,2000,2000il
frc1,Regional Finalist,2000,2000mi
frc1,Creativity,2000,2000mi
frc1,Best Offensive Round,2000,2000mi
frc1,Chairman's Award Finalist,2001,2001cmp
frc1,Regional Winner,2001,2001mi2
frc1,Regional Chairmans Award,2002,2002gl
frc1,DaimlerChrysler Team Spirit Award,2003,2003gl
frc1,Engineering Inspiration Award,2004,2004dt
frc1,General Motors Industrial Design,2005,2005gl
frc1,DaimlerChrysler Team Spirit Award,2006,2006il
frc1,Regional Engineering Inspiration Award,2008,2008dt
frc1,Johnson & Johnson Gracious Professionalism,2008,2008mo
frc1,Regional Finalist,2008,2008mo
frc1,Judges Award,2009,2009gg
frc1,Judges Award,2009,2009grl
frc1,Regional Finalist,2009,2009grl
frc1,Finalist,2010,2010dt
frc1,Engineering Inspiration,2010,2010dt
frc1,Regional Chairman's Award,2011,2011dt
frc1,Winner,2011,2011gg
frc1,Judges' Award,2012,2012oc1
frc1,Engineering Inspiration,2014,2014miwat
frc1,FIRST Dean's List Finalist Award,2016,2016micmp
frc1,District Engineering Inspiration Award,2016,2016miket
frc1,Imagery Award in honor of Jack Kamen,2016,2016mimar
frc1,Woodie Flowers Finalist Award,2017,2017micmp
frc1,Imagery Award in honor of Jack Kamen,2017,2017mihow
frc1,Imagery Award in honor of Jack Kamen,2019,2019micen
frc1,Innovation in Control Award,2022,2022miwal
frc1,Creativity Award sponsored by Rockwell Automation,2023,2023midet
frc1,District Event Winner,2024,2024miket
frc4,Regional Winner,2006,2006ca
frc4,Judge's Award (Day 1),2006,2006on
frc4,Regional Winner,2007,2007ca
frc4,Finalist,2010,2010nv
frc4,Industrial Safety Award sponsored by Underwriters Laboratories,2016,2016cave
frc4,Creativity Award sponsored by Xerox,2016,2016cave
frc4,Creativity Award sponsored by Xerox,2017,2017calb
frc4,Gracious Professionalism Award sponsored by Johnson & Johnson,2018,2018capo
frc4,Judge's Award,2019,2019cabl
frc4,Quality Award sponsored by Motorola Solutions Foundation,2019,2019caln
frc4,Regional Winners,2020,2020caln
frc4,Imagery Award in honor of Jack Kamen,2020,2020caln
frc4,Winner,2021,2021cabl
frc4,Concept Award,2021,2021gamf
frc4,Winner,2022,2022catt
frc4,Engineering Inspiration Award,2023,2023arc
frc4,Regional FIRST Impact Award,2023,2023caph
frc4,Regional Winners,2023,2023cave
frc4,Gracious Professionalism Award,2023,2023nvlv
frc4,Gracious Professionalism Award,2024,2024caoc
frc4,Regional Finalists,2024,2024caoc
frc4,Team Spirit Award,2024,2024caph
frc4,Finalist,2024,2024catt
frc5,Regional Finalist,1999,1999mi
frc5,Featherweight in the Finals,1999,1999mi
frc5,Featherweight in the Finals,2000,2000mi
frc5,Quality,2001,2001va
frc5,Incredible Play,2001,2001va
frc5,Kleiner Perkins Caufield & Byers Entrepreneurship,2002,2002on
frc5,Xerox Creativity Award,2003,2003pit
frc5,Regional Winner,2004,2004dt
frc5,Regional Winner,2004,2004pit
frc5,"Delphi ""Driving Tomorrow's Technology"" Award",2004,2004sc
frc6,Regional Finalist,2001,2001il
frc7,Judges' Award,1998,1998nj
frc7,#1 Seed,1999,1999pa
frc7,Judges' Award,2000,2000va
frc7,Regional Winner,2002,2002nj
frc7,GM Industrial Design Award,2002,2002nj
frc7,Kleiner Perkins Caufield & Byers Entrepreneurship,2004,2004md
frc7,Judges' Award,2005,2005md
frc7,Regional Finalist,2005,2005md
frc8,Regional Finalist,2001,2001ca2
frc8,Regional Winner,2006,2006nv
frc8,Regional Finalist,2008,2008sj
frc8,Rockwell Automation Innovation in Control Award,2009,2009nv
frc8,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2015,2015cama
frc8,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2015,2015casj
frc8,Regional Finalists,2016,2016cama
frc8,Wildcard,2016,2016cama
frc8,Regional Finalists,2017,2017casj
frc8,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2017,2017casj
frc8,Wildcard,2017,2017casj
frc8,Creativity Award sponsored by Xerox,2017,2017cave
frc8,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2017,2017cave
frc8,FIRST Dean's List Finalist Award,2017,2017cave
frc8,FIRST Dean's List Award,2017,2017cmptx
frc8,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2018,2018azfl
frc8,Founders Award,2019,2019cacg
frc8,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2019,2019cadm
frc8,FIRST Dean's List Finalist Award,2019,2019cadm
frc8,Gracious Professionalism Award sponsored by Johnson & Johnson,2019,2019casj
frc8,Autonomous Award sponsored by Ford,2019,2019ndgf
frc8,Regional Winners,2020,2020utwv
frc8,Quality Award sponsored by Motorola Solutions Foundation,2020,2020utwv
frc8,Concept Award,2021,2021gamo
frc8,FIRST Innovation Challenge Semi-Finalist Award,2021,2021innco
frc8,Autonomous Award sponsored by Ford,2021,2021irhcs
frc8,Finalist,2022,2022cacg
frc8,Innovation in Control Award,2022,2022cave
frc8,FIRST Dean's List Finalist Award,2023,2023utwv
frc8,Team Sustainability Award,2023,2023utwv
frc8,Regional FIRST Impact Award,2024,2024cave
frc9,Regional Finalist,1999,1999il
frc9,Regional Finalist,2001,2001il
frc9,Judges Award - Friday,2002,2002mi
frc9,Judges Award Friday,2003,2003mi
frc9,Website Design Award,2003,2003mi
frc10,Rookie All-Star,1998,1998il
frc10,Most Photogenic Award,1999,1999fl
frc10,Outstanding Defense,1999,1999fl
frc10,Featherweight in the Finals,2000,2000fl
frc11,Teacher Pioneer Award,1999,1999cmp
frc11,Outstanding Defense,1999,1999nj
frc11,Regional Finalist,2002,2002nj
frc11,Xerox Creativity Award,2002,2002on
frc11,Regional Winner,2004,2004sc
frc11,DaimlerChrysler Team Spirit Award,2004,2004sc
frc11,Regional Chairman's Award,2005,2005nj
frc11,Judge's Award,2005,2005sc
frc11,Autodesk Visualization,2005,2005sc
frc11,Regional Winner,2006,2006sc
frc11,Imagery Award,2006,2006sc
frc11,"Delphi ""Driving Tomorrow's Technology"" Award",2007,2007ny
frc11,Regional Winner,2008,2008md
frc11,Regional Finalist,2008,2008nj
frc11,Woodie Flowers Award,2008,2008nj
frc11,Team Spirit Award,2009,2009nj
frc11,Leadership in Controls,2010,2010nj
frc11,Regional Chairman's Award,2011,2011sc
frc11,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2011,2011sc
frc11,Excellence in Design Award sponsored by Autodesk,2011,2011sc
frc11,Website Award,2011,2011sc
frc11,Engineering Excellence Award sponsored by Delphi,2011,2011va
frc11,Regional Chairman's Award,2012,2012nj
frc11,Website Award,2012,2012nj
frc11,Gracious Professionalism Award sponsored by Johnson & Johnson,2012,2012njf
frc11,Industrial Safety Award sponsored by Underwriters Laboratories,2012,2012njf
frc11,Industrial Safety Award sponsored by Underwriters Laboratories,2012,2012pa
frc11,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2012,2012pa
frc11,Engineering Excellence Award sponsored by Delphi,2012,2012sc
frc11,Website Award,2012,2012sc
frc11,Regional Finalists,2013,2013mrcmp
frc11,Regional Chairman's Award,2013,2013njbrg
frc11,District Winners,2013,2013njfla
frc11,Industrial Design Award sponsored by General Motors,2013,2013njfla
frc11,Regional Winners,2013,2013scmb
frc11,Quality Award sponsored by Motorola,2013,2013scmb
frc11,Regional Chairman's Award,2014,2014hiho
frc11,Regional Winner,2014,2014mrcmp
frc11,Industrial Design Award sponsored by General Motors,2014,2014njfla
frc11,Industrial Design Award sponsored by General Motors,2014,2014paphi
frc11,Quality Award sponsored by Motorola,2015,2015hiho
frc11,District Event Finalist,2015,2015njfla
frc11,Judges' Award,2015,2015njnbr
frc11,District Event Finalist,2015,2015njnbr
frc11,District Engineering Inspiration Award,2015,2015pahat
frc11,Regional Chairman's Award,2016,2016flwp
frc11,Excellence in Engineering Award sponsored by Delphi,2016,2016njfla
frc11,District Event Winner,2016,2016paphi
frc11,District Engineering Inspiration Award,2016,2016paphi
frc11,Safety Award sponsored by Underwriters Laboratories,2017,2017njfla
frc11,Team Spirit Award sponsored by FCA Foundation,2017,2017njfla
frc11,Finalist,2017,2017njmm
frc11,Safety Award sponsored by Underwriters Laboratories,2017,2017njski
frc11,District Event Finalist,2017,2017njski
frc11,District Chairman's Award,2018,2018njfla
frc11,District Championship Finalist,2019,2019mrcmp
frc11,Quality Award sponsored by Motorola Solutions Foundation,2019,2019njbri
frc11,Safety Award sponsored by Underwriters Laboratories,2019,2019njbri
frc11,District Event Finalist,2019,2019njbri
frc11,Quality Award sponsored by Motorola Solutions Foundation,2019,2019nyli
frc11,Regional Finalists,2019,2019nyli
frc11,Wildcard,2019,2019nyli
frc11,Regional Chairman's Award,2021,2021fmaaw
frc11,Gracious Professionalism Award,2022,2022mrcmp
frc11,Imagery Award in honor of Jack Kamen,2022,2022njfla
frc11,District Event Finalist,2022,2022njski
frc11,Imagery Award in honor of Jack Kamen,2022,2022njski
frc11,Quality Award,2023,2023njfla
frc11,District Event Finalist,2023,2023njfla
frc11,District FIRST Impact Award,2023,2023njwas
frc11,Gracious Professionalism Award,2024,2024mrcmp
frc11,Gracious Professionalism Award,2024,2024njfla
frc11,Gracious Professionalism Award,2024,2024njwas
frc13,Autodesk Excellence in Engineering Creativity and Communications Award,1997,1997cmp
frc13,Best Offensive Round,1997,1997il
frc13,Best Play of the Day Award,1998,1998il
frc14,Rookie All-Star,1995,1995nh
frc14,Quality,1996,1996cmp
frc14,Championship Finalist,1996,1996cmp
frc14,Regional Finalist,1997,1997il
frc14,Most Photogenic Award,1997,1997il
frc14,#1 Seed,1998,1998il
frc15,Most Photogenic Award,1997,1997cmp
frc15,Team Spirit Award,1997,1997il
frc15,Outstanding Defense,1999,1999cmp
frc15,Regional Winner,1999,1999fl
frc15,Creativity,1999,1999fl
frc15,#1 Seed,2000,2000li
frc15,Most Photogenic Award,2000,2000li
frc16,Creativity,1996,1996cmp
frc16,Chairman's Award Finalist,1996,1996cmp
frc16,Chairman's Award Finalist,1997,1997cmp
frc16,Chairman's Award Finalist,1998,1998cmp
frc16,Regional Winner,1998,1998il
frc16,Best Offensive Round,1998,1998il
frc16,Regional Finalist,1998,1998tx
frc16,Creativity,1998,1998tx
frc16,Chairman's Award Finalist,1999,1999cmp
frc16,Regional Finalist,1999,1999fl
frc16,Leadership in Controls,1999,1999fl
frc16,#1 Seed,1999,1999fl
frc16,Quality,1999,1999mi
frc16,#1 Seed,1999,1999mi
frc16,Chairman's Award Winner,2000,2000cmp
frc16,Regional Winner,2000,2000fl
frc16,Leadership in Controls,2000,2000fl
frc16,Outstanding Defense,2000,2000fl
frc16,Quality,2000,2000il
frc16,Regional Finalist,2000,2000il
frc16,Regional Winner,2002,2002mo
frc16,"Delphi ""Driving Tomorrows Technology Award",2002,2002mo
frc16,#1 Seed,2002,2002mo
frc16,GM Industrial Design Award,2002,2002tx
frc16,Regional Finalist,2002,2002tx
frc16,#1 Seed,2002,2002tx
frc16,Regional Finalist,2003,2003il
frc16,"Delphi ""Driving Tomorrow's Technology"" Award",2003,2003mo
frc16,Engineering Inspiration Award,2003,2003mo
frc16,Regional Chairman�s Award,2004,2004md
frc16,Regional Winner,2004,2004md
frc16,Leadership in Control Award,2004,2004md
frc16,Regional Winner,2004,2004mo
frc16,"Delphi ""Driving Tomorrow's Technology"" Award",2004,2004mo
frc16,Woodie Flowers Finalist Award,2005,2005in
frc16,Team Spirit Award,2005,2005in
frc16,Quality,2005,2005mo
frc16,Regional Finalist,2006,2006mo
frc16,Motorola Quality Award,2006,2006sc
frc16,Regional Finalist,2006,2006sc
frc16,Rockwell Automation Innovation in Control Award,2007,2007kc
frc16,Judges Award,2007,2007tx
frc16,Championship - Championship Finalist,2008,2008cmp
frc16,Curie - Division Winner,2008,2008cur
frc16,General Motors Industrial Design Award,2008,2008il
frc16,Website Award,2008,2008il
frc16,Regional Winner,2008,2008la
frc16,Kleiner Perkins Caufield & Byers Entrepreneurship Award,2008,2008la
frc16,Website Award,2008,2008la
frc16,Championship - Woodie Flowers,2009,2009cmp
frc16,Entrepreneurship,2009,2009il
frc16,Regional Winner,2009,2009mo
frc16,Rockwell Automation Innovation in Control Award,2009,2009mo
frc16,Winner,2010,2010il
frc16,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2010,2010il
frc16,Finalist,2010,2010kc
frc16,Newton - Division Finalist,2010,2010new
frc16,Innovation in Control Award sponsored by Rockwell Automation,2011,2011il
frc16,Winner,2011,2011stx
frc16,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2011,2011stx
frc16,Championship Winners,2012,2012cmp
frc16,Regional Winners,2012,2012da
frc16,Innovation in Control Award sponsored by Rockwell Automation,2012,2012da
frc16,Championship Division Winners - Galileo,2012,2012gal
frc16,Regional Winners,2012,2012il
frc16,Engineering Excellence Award sponsored by Delphi,2012,2012il
frc16,Regional Winners,2012,2012kc
frc16,Judges' Award,2013,2013arfa
frc16,Regional Finalists,2013,2013txlu
frc16,Regional Winner,2014,2014arfa
frc16,Excellence in Engineering Award sponsored by Delphi,2014,2014arfa
frc16,Woodie Flowers Finalist Award,2014,2014arfa
frc16,FIRST Dean's List Finalist,2014,2014arfa
frc16,Cerner Industrial Design Award,2014,2014cttd
frc16,Regional Winner,2014,2014ohci
frc16,Excellence in Engineering Award sponsored by Delphi,2014,2014ohci
frc16,Woodie Flowers Finalist Award,2015,2015arfa
frc16,FIRST Dean's List Finalist Award,2015,2015arfa
frc16,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2015,2015ilch
frc16,Regional Winners,2016,2016alhu
frc16,Industrial Design Award sponsored by General Motors,2016,2016alhu
frc16,FIRST Dean's List Finalist Award,2016,2016alhu
frc16,Regional Winners,2016,2016arlr
frc16,Innovation in Control Award sponsored by Rockwell Automation,2016,2016arlr
frc16,Regional Winners,2017,2017arli
frc16,Quality Award sponsored by Motorola Solutions Foundation,2017,2017arli
frc16,Regional Finalists,2017,2017ilch
frc16,Creativity Award sponsored by Xerox,2017,2017ilch
frc16,Regional Winners,2018,2018arli
frc16,Quality Award sponsored by Motorola Solutions Foundation,2018,2018arli
frc16,Quality Award sponsored by Motorola Solutions Foundation,2018,2018carv
frc16,Regional Winners,2018,2018ilch
frc16,Quality Award sponsored by Motorola Solutions Foundation,2018,2018ilch
frc16,Regional Finalists,2019,2019alhu
frc16,Excellence in Engineering Award sponsored by Delphi,2019,2019alhu
frc16,Industrial Design Award sponsored by General Motors,2019,2019ilch
frc16,Regional Winners,2020,2020arli
frc16,Industrial Design Award sponsored by General Motors,2020,2020arli
frc16,Autonomous Award sponsored by Ford,2021,2021irhin
frc16,Skills Competition Winner,2021,2021irhin
frc16,Regional Winners,2022,2022arli
frc16,FIRST Dean's List Finalist Award,2022,2022arli
frc16,Autonomous Award sponsored by Ford,2022,2022arli
frc16,Regional Winners,2023,2023arli
frc16,Innovation in Control Award,2023,2023arli
frc16,FIRST Dean's List Finalist Award,2023,2023arli
frc16,Innovation in Control Award,2023,2023lake
frc16,Innovation in Control Award,2024,2024arc
frc16,Regional Winners,2024,2024arli
frc16,Excellence in Engineering Award,2024,2024arli
frc16,Volunteer of the Year,2024,2024arli
frc16,Industrial Design Award sponsored by General Motors,2024,2024ilchfrc18,Best Play of the Day Award,1997,1997nh
frc18,Team Spirit Award,1998,1998nh
frc19,Quality,1998,1998nj
frc19,Regional Winner,1999,1999ne
frc19,Featherweight in the Finals,1999,1999ne
frc19,Regional Finalist,2000,2000li
frc19,Best Offensive Round,2000,2000li
frc19,Kleiner Perkins Caufield & Byers Entrepreneurship,2002,2002ny
frc19,Kleiner Perkins Caufield & Byers Entrepreneurship,2003,2003ct
frc19,GM Industrial Design Award,2003,2003ny
frc19,Website Design Award,2003,2003ny
frc20,Most Photogenic Award,1993,1993cmp
frc20,Best Play of the Day Award,1996,1996cmp
frc20,Best Play of the Day Award,1996,1996nh
frc20,Team Spirit Award,1997,1997cmp
frc20,Industrial Design,2005,2005ct
frc20,Regional Finalist,2005,2005ct
frc20,"Delphi ""Driving Tommorow's Technology"" Award",2006,2006ct
frc20,Regional Woodie Flowers Award,2006,2006ct
frc20,"Delphi ""Driving Tomorrow's Technology"" Award",2007,2007ct
frc20,Regional Winner,2008,2008ma
frc20,Motorola Quality Award,2008,2008ma
frc20,Regional Winner,2008,2008roc
frc20,Judges Award,2009,2009ct
frc20,Quality,2009,2009nh
frc20,Regional Finalist,2009,2009nh
frc20,Entrepreneurship,2010,2010nh
frc20,Autodesk Inventor Award,2010,2010nh
frc20,Winner,2010,2010wor
frc20,Coopertition Award,2010,2010wor
frc20,Creativity Award sponsored by Xerox,2010,2010wor
frc20,Finalist,2011,2011nh
frc20,Regional Winners,2012,2012ct
frc20,Industrial Safety Award sponsored by Underwriters Laboratories,2012,2012nh
frc20,Regional Winners,2013,2013ctha
frc20,Quality Award sponsored by Motorola,2013,2013ctha
frc20,Industrial Safety Award sponsored by Underwriters Laboratories,2013,2013ctha
frc20,Quality Award sponsored by Motorola,2013,2013mawo
frc20,Industrial Safety Award sponsored by Underwriters Laboratories,2013,2013mawo
frc20,Regional Finalists,2013,2013mawo
frc20,Woodie Flowers Finalist Award,2013,2013mawo
frc20,Regional Winner,2014,2014nyro
frc20,Industrial Design Award sponsored by General Motors,2014,2014nyro
frc20,Regional Winner,2014,2014nytr
frc20,Innovation in Control Award sponsored by Rockwell Automation,2014,2014nytr
frc20,FIRST Dean's List Finalist,2014,2014nytr
frc20,Championship Subdivision Winner,2015,2015cars
frc20,Regional Finalists,2015,2015nytr
frc20,FIRST Dean's List Finalist Award,2015,2015nytr
frc20,Volunteer of the Year,2015,2015nytr
frc20,Regional Winners,2016,2016nyro
frc20,Gracious Professionalism Award sponsored by Johnson & Johnson,2016,2016nyro
frc20,Gracious Professionalism Award sponsored by Johnson & Johnson,2016,2016nytr
frc20,Regional Finalists,2016,2016nytr
frc20,Excellence in Engineering Award sponsored by Delphi,2017,2017nysu
frc20,Gracious Professionalism Award sponsored by Johnson & Johnson,2017,2017nytr
frc20,Woodie Flowers Finalist Award,2017,2017nytr
frc20,Gracious Professionalism Award,2017,2017nytv
frc20,Regional Finalists,2018,2018nytr
frc20,FIRST Dean's List Finalist Award,2018,2018nytr
frc20,Excellence in Engineering Award sponsored by Delphi,2018,2018nyut
frc20,Regional Winners,2019,2019nysu
frc20,Industrial Design Award sponsored by General Motors,2019,2019nysu
frc20,Regional Winners,2019,2019nytr
frc20,Industrial Design Award sponsored by General Motors,2019,2019nytr
frc20,FIRST Innovation Challenge Semi-Finalist Award,2021,2021innli
frc20,Regional Finalists,2022,2022nyny
frc20,Creativity Award sponsored by Rockwell Automation,2022,2022nyny
frc20,Quality Award,2022,2022nytr
frc20,Volunteer of the Year,2022,2022nytr
frc20,Excellence in Engineering Award,2023,2023nyro
frc20,Quality Award,2023,2023nytr
frc20,FIRST Dean's List Finalist Award,2023,2023nytr
frc20,Volunteer of the Year,2023,2023nytr
frc20,Judges' Award,2024,2024nysu
frc20,Regional Finalists,2024,2024nysu
frc21,Most Photogenic Award,1998,1998tx
frc21,Autodesk Design your Future Award Honorable Mentions:,1999,1999cmp
frc21,Sportsmanship-GP,1999,1999fl
frc21,Judges' Award,2000,2000il
frc21,Division Finalist,2001,2001arc
frc21,Regional Finalist,2001,2001fl
frc21,Team Spirit Award,2001,2001tx
frc21,DaimlerChrysler Team Spirit Award,2002,2002fl
frc21,Johnson & Johnson Sportsmanship Award,2002,2002pa
frc21,Johnson & Johnson Sportsmanship Award,2003,2003fl
frc21,DaimlerChrysler Team Spirit Award,2003,2003fl
frc21,Sportsmanship-GP,2005,2005fl
frc21,Regional Woodie Flowers Award,2006,2006sc
frc21,Regional Winner,2009,2009sc
frc21,Excellence in Engineering Award sponsored by Delphi,2014,2014flor
frc21,Gracious Professionalism Award sponsored by Johnson & Johnson,2017,2017flor
frc21,Gracious Professionalism Award sponsored by Johnson & Johnson,2019,2019flor
frc21,Creativity Award sponsored by Rockwell Automation,2022,2022flor
frc21,Creativity Award sponsored by Rockwell Automation,2022,2022flwp
frc22,Sportsmanship-GP,2000,2000ca
frc22,Chairman's Award Finalist,2000,2000cmp
frc22,Judges' Award,2001,2001ca1
frc22,Imagery,2001,2001ca2
frc22,Chairman's Award Winner,2001,2001cmp
frc22,Regional Chairmans Award,2002,2002ca
frc22,Johnson & Johnson Sportsmanship Award,2002,2002wa
frc22,#1 Seed,2002,2002wa
frc22,Engineering Inspiration Award,2003,2003ca
frc22,Judges Award Friday,2004,2004ca
frc22,Regional Finalist,2004,2004ca
frc22,Judges' Award,2005,2005ca
frc22,Regional Finalist,2005,2005ca
frc22,Regional Winner,2005,2005sj
frc23,Rookie All-Star,1995,1995cmp
frc23,Chairman's Award Finalist,1996,1996cmp
frc23,Best Play of the Day Award,1996,1996nh
frc23,Chairman's Award Finalist,1997,1997cmp
frc23,Team Spirit Award,1997,1997nh
frc23,Chairman's Award Winner,1998,1998cmp
frc23,Woodie Flowers Award,1998,1998cmp
frc23,Autodesk Excellence in Engineering Creativity and Communications Award,1999,1999cmp
frc23,Regional Finalist,1999,1999pa
frc23,Outstanding Defense,1999,1999pa
frc23,Creativity Award sponsored by Xerox,2012,2012wor
frc23,Creativity Award sponsored by Xerox,2019,2019mabri
frc23,Creativity Award sponsored by Xerox,2019,2019marea
frc24,Judges' Award,1997,1997il
frc24,Regional Finalist,1998,1998il
frc25,Championship Winner,2000,2000cmp
frc25,Regional Winner,2000,2000nj
frc25,Creativity,2000,2000nj
frc25,Best Offensive Round,2000,2000nj
frc25,Creativity,2001,2001nj
frc25,Division Champion,2002,2002arc
frc25,Regional Finalist,2002,2002nj
frc25,Engineering Inspiration Award,2002,2002nj
frc25,Championship Finalist,2003,2003cmp
frc25,Division Champion,2003,2003cur
frc25,Judges Award Friday,2003,2003md
frc25,Regional Winner,2003,2003nj
frc25,Judges Award Friday,2003,2003nj
frc25,Engineering Inspiration Award,2004,2004md
frc25,Leadership in Control Award,2004,2004nj
frc25,Sportsmanship-GP,2005,2005nj
frc25,"Delphi ""Driving Tomorrow's Technology""",2005,2005nj
frc25,General Motors Industrial Design,2005,2005sc
frc25,Regional Finalist,2005,2005sc
frc25,Championship Finalist,2006,2006cmp
frc25,"Delphi ""Driving Tomorrow's Technology""",2006,2006cmp
frc25,Division Champion,2006,2006new
frc25,Regional Chairman's Award,2006,2006nj
frc25,Regional Winner,2006,2006nj
frc25,Regional Winner,2006,2006nv
frc25,"Delphi ""Driving Tommorow's Technology"" Award",2006,2006nv
frc25,Regional Finalist,2007,2007ct
frc25,Regional Winner,2007,2007nj
frc25,General Motors Industrial Design Award,2007,2007nj
frc25,"Delphi ""Driving Tomorrow's Technology"" Award",2008,2008hi
frc25,Autodesk Visualization Award,2008,2008hi
frc25,Regional Winner,2008,2008nj
frc25,"Delphi ""Driving Tomorrow's Technology"" Award",2009,2009fl
frc25,Regional Finalist,2009,2009nj
frc25,Regional Winner,2010,2010nj
frc25,Coopertition Award,2010,2010nj
frc25,Industrial Design,2010,2010nj
frc25,Winner,2010,2010nv
frc25,Coopertition Award,2010,2010nv
frc25,Industrial Design sponsored by General Motors,2010,2010nv
frc25,Newton - Division Champion,2011,2011new
frc25,Winner,2011,2011va
frc25,Creativity Award sponsored by Xerox,2011,2011va
frc25,Championship Winners,2012,2012cmp
frc25,Championship Division Winners - Galileo,2012,2012gal
frc25,Regional Winners,2012,2012njf
frc25,Regional Winners,2012,2012pa
frc25,Engineering Inspiration,2014,2014mrcmp
frc25,Creativity Award sponsored by Xerox,2014,2014new
frc25,Creativity Award sponsored by Xerox,2014,2014njtab
frc25,Finalist,2014,2014pahat
frc25,Engineering Inspiration,2014,2014pahat
frc25,Creativity Award sponsored by Xerox,2015,2015njnbr
frc25,Creativity Award sponsored by Xerox,2015,2015njtab
frc25,District Championship Finalist,2016,2016mrcmp
frc25,Industrial Design Award sponsored by General Motors,2016,2016njbri
frc25,District Event Finalist,2016,2016njbri
frc25,Gracious Professionalism Award sponsored by Johnson & Johnson,2016,2016pahat
frc25,District Event Winner,2017,2017njfla
frc25,District Event Winner,2017,2017njski
frc25,District Championship Finalist,2018,2018mrcmp
frc25,District Event Winner,2018,2018njfla
frc25,Excellence in Engineering Award sponsored by Delphi,2018,2018njfla
frc25,District Event Winner,2018,2018njski
frc25,District Event Winner,2018,2018pahat
frc25,Creativity Award sponsored by Xerox,2018,2018pahat
frc25,Gracious Professionalism Award sponsored by Johnson & Johnson,2019,2019njski
frc25,District Event Finalist,2022,2022njbri
frc25,Quality Award,2023,2023njski
frc25,District Event Finalist,2023,2023njski
frc25,District Event Finalist,2023,2023njtab
frc25,District Event Finalist,2023,2023pahat
frc27,Quality,1997,1997il
frc27,Against All Odds Award,1998,1998mi
frc27,Autodesk Design your Future Award Honorable Mentions:,1999,1999cmp
frc27,Teacher Pioneer Award,1999,1999cmp
frc27,Regional Winner,1999,1999il
frc27,Most Photogenic Award,1999,1999il
frc27,Regional Winner,1999,1999mi
frc27,Most Photogenic Award,1999,1999mi
frc27,Woodie Flowers Award,2000,2000cmp
frc27,Sportsmanship-GP,2001,2001ct
frc27,Team Spirit Award,2001,2001mi1
frc27,Regional Finalist,2002,2002mi
frc27,Quality,2003,2003cmp
frc27,Regional Finalist,2003,2003gl
frc27,"Delphi ""Driving Tomorrow's Technology"" Award",2003,2003gl
frc27,Regional Winner,2003,2003oh
frc27,Kleiner Perkins Caufield & Byers Entrepreneurship,2003,2003oh
frc27,Division Finalist,2004,2004gal
frc27,Regional Chairman�s Award,2004,2004gl
frc27,Motorola Quality Award,2004,2004il
frc27,Quality,2005,2005dt
frc27,Regional Finalist,2005,2005mi
frc27,Engineering Inspiration,2005,2005mi
frc27,Division Finalist,2006,2006gal
frc27,Regional Finalist,2006,2006mi
frc27,DaimlerChrysler Team Spirit Award,2006,2006mi
frc27,Kleiner Perkins Caufield & Byers Entrepreneurship Award,2007,2007dt
frc27,Regional Chairman's Award,2007,2007mi
frc27,Kleiner Perkins Caufield & Byers Entrepreneurship Award,2007,2007mi
frc27,Championship - Motorola Quality,2008,2008cmp
frc27,Regional Chairman's Award,2008,2008dt
frc27,Regional Finalist,2008,2008dt
frc27,Woodie Flowers Award,2008,2008dt
frc27,Motorola Quality Award,2008,2008gl
frc27,Kleiner Perkins Caufield & Byers Entrepreneurship Award,2009,2009gg
frc27,State Championship Chairman's Award,2009,2009gl
frc27,Regional Chairman's Award,2009,2009grl
frc27,Regional Chairman's Award,2010,2010dt
frc27,Finalist,2010,2010dt
frc27,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2010,2010gg
frc27,Regional Chairman's Award,2010,2010gl
frc27,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2011,2011gg
frc27,Finalist,2011,2011gl
frc27,Engineering Inspiration,2011,2011gl
frc27,Winner,2011,2011mi
frc27,Website Award,2011,2011mi
frc27,Engineering Inspiration,2011,2011mi
frc27,Regional Chairman's Award,2012,2012gl
frc27,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,2012,2012md
frc27,Engineering Inspiration Award,2012,2012md
frc27,Regional Chairman's Award,2012,2012swm
frc27,Regional Finalists,2012,2012swm
frc27,Engineering Inspiration Award,2012,2012ww
frc27,Regional Chairman's Award,2013,2013micmp
frc27,Quality Award sponsored by Motorola,2013,2013miliv
